PositionX, PositionZ
-277.8099,8.154757
-277.9912,8.151554
-278.357,8.145094
-278.5411,8.141843
-278.9072,8.135377
-279.096,8.132043
-279.4626,8.125566
-279.6513,8.122234
-280.0093,8.11591
-280.1915,8.11269
-280.5804,8.105821
-280.7654,8.102552
-281.1417,8.095905
-281.3315,8.092553
-281.6934,8.086159
-281.8882,8.082717
-282.2661,8.076042
-282.4509,8.072777
-282.8448,8.065819
-283.0328,8.062496
-283.4124,8.05579
-283.603,8.052423
-283.9768,8.045818
-284.1701,8.042403
-284.5462,8.035757
-284.7309,8.032494
-285.1145,8.025715
-285.298,8.022472
-285.67,8.015898
-285.8568,8.012596
-286.2198,8.00618
-286.4032,8.002938
-286.5855,7.999716
-286.9449,7.993365
-287.1236,7.990205
-287.302,7.987052
-287.6555,7.980803
-288.0058,7.974612
-288.1794,7.971542
-288.3527,7.968479
-288.6963,7.962401
-288.8667,7.959388
-289.2055,7.953397
-289.3739,7.950419
-289.5411,7.947463
-289.8735,7.941585
-290.0386,7.938664
-290.3662,7.932872
-290.5286,7.93
-290.8514,7.924291
-291.0117,7.921456
-291.171,7.918638
-291.4875,7.913041
-291.6447,7.91026
-291.9566,7.904745
-292.2654,7.899283
-292.4186,7.896573
-292.7229,7.89119
-292.874,7.888518
-293.1738,7.883214
-293.3225,7.880583
-293.618,7.875357
-293.9105,7.870182
-294.0557,7.867613
-294.2002,7.865057
-294.487,7.859983
-294.6294,7.857464
-294.9119,7.852465
-295.0522,7.849984
-295.3306,7.845058
-295.4688,7.842613
-295.7431,7.837759
-296.0147,7.832953
-296.1495,7.830568
-296.2837,7.828195
-296.55,7.823483
-296.8137,7.818817
-296.9445,7.816502
